Source_Code,Source_Material
BEL_220_8202_W01,Waste Fresh
BEL_220_8214_153,High Grade Fresh
BEL_220_8214_154,Low Grade Fresh
BEL_220_8214_155,High Grade Fresh
BEL_220_8214_156,Poor Grade Fresh
BEL_220_8214_157,Low Grade Fresh
BEL_220_8214_248,High Grade Fresh
BEL_220_8214_249,Poor Grade Fresh
BEL_220_8214_250,High Grade Fresh
BEL_220_8214_251,Poor Grade Fresh
BEL_220_8214_W01,Waste Fresh
BEL_220_8215_147,Poor Grade Fresh
BEL_220_8215_148,High Grade Fresh
BEL_220_8215_149,Poor Grade Fresh
BEL_220_8215_150,Poor Grade Fresh
BEL_220_8215_151,Poor Grade Fresh
BEL_220_8215_152,Low Grade Fresh
BEL_220_8215_243,High Grade Fresh
BEL_220_8215_244,Poor Grade Fresh
BEL_220_8215_245,Poor Grade Fresh
BEL_220_8215_246,Poor Grade Fresh
BEL_220_8215_W01,Waste Fresh
BEL_220_8216_136,Low Grade Fresh
BEL_220_8216_137,High Grade Fresh
BEL_220_8216_138,High Grade Fresh
BEL_220_8216_139,Poor Grade Fresh
BEL_220_8216_140,High Grade Fresh
BEL_220_8216_141,Low Grade Fresh
BEL_220_8216_142,Poor Grade Fresh
BEL_220_8216_237,Low Grade Fresh
BEL_220_8216_238,Low Grade Fresh
BEL_220_8216_239,High Grade Fresh
BEL_220_8216_240,High Grade Fresh
BEL_220_8216_241,Poor Grade Fresh
BEL_220_8216_W01,Waste Fresh
BEL_220_8217_143,Poor Grade Fresh
BEL_220_8217_242,Poor Grade Fresh
BEL_220_8217_W01,Waste Fresh
BEL_220_8218_134,Poor Grade Fresh
BEL_220_8218_135,Poor Grade Fresh
BEL_220_8218_235,Low Grade Fresh
BEL_220_8218_236,Low Grade Fresh
BEL_220_8218_W01,Waste Fresh
BEL_220_8219_144,Poor Grade Fresh
BEL_220_8219_145,Low Grade Fresh
BEL_220_8219_146,Poor Grade Fresh
BEL_220_8219_247,Low Grade Fresh
BEL_220_8219_W01,Waste Fresh
BEL_220_8220_128,Low Grade Fresh
BEL_220_8220_129,High Grade Fresh
BEL_220_8220_130,Poor Grade Fresh
BEL_220_8220_131,Poor Grade Fresh
BEL_220_8220_132,High Grade Fresh
BEL_220_8220_133,Poor Grade Fresh
BEL_220_8220_227,Low Grade Fresh
BEL_220_8220_228,Low Grade Fresh
BEL_220_8220_229,High Grade Fresh
BEL_220_8220_230,Poor Grade Fresh
BEL_220_8220_231,Poor Grade Fresh
BEL_220_8220_232,Poor Grade Fresh
BEL_220_8220_W01,Waste Fresh
BEL_220_8221_121,Low Grade Fresh
BEL_220_8221_122,High Grade Fresh
BEL_220_8221_123,Low Grade Fresh
BEL_220_8221_124,Poor Grade Fresh
BEL_220_8221_125,Low Grade Fresh
BEL_220_8221_220,Poor Grade Fresh
BEL_220_8221_221,High Grade Fresh
BEL_220_8221_222,High Grade Fresh
BEL_220_8221_223,Low Grade Fresh
BEL_220_8221_224,Low Grade Fresh
BEL_220_8221_225,Low Grade Fresh
BEL_220_8221_W01,Waste Fresh
BEL_220_8222_120,Low Grade Fresh
BEL_220_8222_219,Low Grade Fresh
BEL_220_8222_W01,Waste Fresh
BEL_220_8223_108,High Grade Fresh
BEL_220_8223_109,High Grade Fresh
BEL_220_8223_110,Poor Grade Fresh
BEL_220_8223_111,Low Grade Fresh
BEL_220_8223_206,High Grade Fresh
BEL_220_8223_207,Poor Grade Fresh
BEL_220_8223_208,Low Grade Fresh
BEL_220_8223_W01,Waste Fresh
BEL_220_8224_101,Poor Grade Fresh
BEL_220_8224_102,High Grade Fresh
BEL_220_8224_201,Poor Grade Fresh
BEL_220_8224_202,High Grade Fresh
BEL_220_8224_W01,Waste Fresh
BEL_220_8225_103,Low Grade Fresh
BEL_220_8225_104,High Grade Fresh
BEL_220_8225_105,Low Grade Fresh
BEL_220_8225_106,High Grade Fresh
BEL_220_8225_107,Poor Grade Fresh
BEL_220_8225_203,Low Grade Fresh
BEL_220_8225_204,High Grade Fresh
BEL_220_8225_205,Poor Grade Fresh
BEL_220_8225_W01,Waste Fresh
BEL_220_8226_116,Poor Grade Fresh
BEL_220_8226_117,Poor Grade Fresh
BEL_220_8226_118,Low Grade Fresh
BEL_220_8226_119,Poor Grade Fresh
BEL_220_8226_214,Low Grade Fresh
BEL_220_8226_215,Poor Grade Fresh
BEL_220_8226_216,Poor Grade Fresh
BEL_220_8226_217,High Grade Fresh
BEL_220_8226_218,Low Grade Fresh
BEL_220_8226_W01,Waste Fresh
BEL_220_8227_126,Low Grade Fresh
BEL_220_8227_127,High Grade Fresh
BEL_220_8227_226,Low Grade Fresh
BEL_220_8227_W01,Waste Fresh
BEL_220_8228_234,Low Grade Fresh
BEL_220_8228_W01,Waste Fresh
BEL_220_9999_997,Low Grade Fresh
BEL_220_9999_998,High Grade Fresh
BEL_220_9999_999,Poor Grade Fresh
BEL_225_8180_109,High Grade Fresh
BEL_225_8180_110,Poor Grade Fresh
BEL_225_8180_111,High Grade Fresh
BEL_225_8180_112,Poor Grade Fresh
BEL_225_8180_113,High Grade Fresh
BEL_225_8180_114,Poor Grade Fresh
BEL_225_8180_115,High Grade Fresh
BEL_225_8180_116,High Grade Fresh
BEL_225_8180_117,Low Grade Fresh
BEL_225_8180_207,Poor Grade Fresh
BEL_225_8180_208,High Grade Fresh
BEL_225_8180_209,Poor Grade Fresh
BEL_225_8180_210,High Grade Fresh
BEL_225_8180_211,Poor Grade Fresh
BEL_225_8180_212,Low Grade Fresh
BEL_225_8180_213,Poor Grade Fresh
BEL_225_8180_214,High Grade Fresh
BEL_225_8180_W01,Waste Fresh
BEL_225_8187_159,High Grade Fresh
BEL_225_8187_160,Poor Grade Fresh
BEL_225_8187_161,High Grade Fresh
BEL_225_8187_162,Low Grade Fresh
BEL_225_8187_163,Low Grade Fresh
BEL_225_8187_248,Poor Grade Fresh
BEL_225_8187_249,High Grade Fresh
BEL_225_8187_250,Poor Grade Fresh
BEL_225_8187_251,High Grade Fresh
BEL_225_8187_252,Low Grade Fresh
BEL_225_8187_W01,Waste Fresh
BEL_225_8189_129,Poor Grade Fresh
BEL_225_8189_137,Poor Grade Fresh
BEL_225_8189_W01,Waste Fresh
BEL_225_8195_119,High Grade Fresh
BEL_225_8195_120,Poor Grade Fresh
BEL_225_8195_121,Poor Grade Fresh
BEL_225_8195_122,Low Grade Fresh
BEL_225_8195_123,Poor Grade Fresh
BEL_225_8195_124,Low Grade Fresh
BEL_225_8195_125,Poor Grade Fresh
BEL_225_8195_126,High Grade Fresh
BEL_225_8195_216,High Grade Fresh
BEL_225_8195_217,Poor Grade Fresh
BEL_225_8195_218,Poor Grade Fresh
BEL_225_8195_219,Low Grade Fresh
BEL_225_8195_W01,Waste Fresh
BEL_225_8196_127,Poor Grade Fresh
BEL_225_8196_128,Low Grade Fresh
BEL_225_8196_220,Low Grade Fresh
BEL_225_8196_W01,Waste Fresh
BEL_225_8197_101,Poor Grade Fresh
BEL_225_8197_102,High Grade Fresh
BEL_225_8197_103,Poor Grade Fresh
BEL_225_8197_201,Poor Grade Fresh
BEL_225_8197_202,High Grade Fresh
BEL_225_8197_W01,Waste Fresh
BEL_225_8198_104,Low Grade Fresh
BEL_225_8198_105,Poor Grade Fresh
BEL_225_8198_106,High Grade Fresh
BEL_225_8198_107,High Grade Fresh
BEL_225_8198_203,High Grade Fresh
BEL_225_8198_204,Poor Grade Fresh
BEL_225_8198_205,High Grade Fresh
BEL_225_8198_206,High Grade Fresh
BEL_225_8198_W01,Waste Fresh
BEL_225_8199_130,Poor Grade Fresh
BEL_225_8199_131,Low Grade Fresh
BEL_225_8199_132,High Grade Fresh
BEL_225_8199_133,Poor Grade Fresh
BEL_225_8199_134,High Grade Fresh
BEL_225_8199_135,Poor Grade Fresh
BEL_225_8199_136,High Grade Fresh
BEL_225_8199_221,Poor Grade Fresh
BEL_225_8199_222,Poor Grade Fresh
BEL_225_8199_223,High Grade Fresh
BEL_225_8199_224,Low Grade Fresh
BEL_225_8199_225,Poor Grade Fresh
BEL_225_8199_226,High Grade Fresh
BEL_225_8199_227,Poor Grade Fresh
BEL_225_8199_228,High Grade Fresh
BEL_225_8199_W01,Waste Fresh
BEL_225_8200_118,High Grade Fresh
BEL_225_8200_215,High Grade Fresh
BEL_225_8200_W01,Waste Fresh
BEL_225_8201_137,Poor Grade Fresh
BEL_225_8201_W01,Waste Fresh
BEL_225_8202_138,Poor Grade Fresh
BEL_225_8202_139,Low Grade Fresh
BEL_225_8202_140,High Grade Fresh
BEL_225_8202_141,High Grade Fresh
BEL_225_8202_142,Low Grade Fresh
BEL_225_8202_143,Low Grade Fresh
BEL_225_8202_229,Low Grade Fresh
BEL_225_8202_230,Poor Grade Fresh
BEL_225_8202_231,High Grade Fresh
BEL_225_8202_232,High Grade Fresh
BEL_225_8202_233,Low Grade Fresh
BEL_225_8202_234,Low Grade Fresh
BEL_225_8202_235,Low Grade Fresh
BEL_225_8202_W01,Waste Fresh
BEL_225_8203_144,High Grade Fresh
BEL_225_8203_145,Poor Grade Fresh
BEL_225_8203_146,High Grade Fresh
BEL_225_8203_147,High Grade Fresh
BEL_225_8203_148,High Grade Fresh
BEL_225_8203_149,Low Grade Fresh
BEL_225_8203_150,Poor Grade Fresh
BEL_225_8203_236,High Grade Fresh
BEL_225_8203_237,Poor Grade Fresh
BEL_225_8203_238,High Grade Fresh
BEL_225_8203_239,High Grade Fresh
BEL_225_8203_240,Low Grade Fresh
BEL_225_8203_W01,Waste Fresh
BEL_225_8204_W01,Waste Fresh
BEL_225_8205_152,Low Grade Fresh
BEL_225_8205_153,High Grade Fresh
BEL_225_8205_154,Low Grade Fresh
BEL_225_8205_155,High Grade Fresh
BEL_225_8205_156,Poor Grade Fresh
BEL_225_8205_157,Poor Grade Fresh
BEL_225_8205_158,Poor Grade Fresh
BEL_225_8205_243,High Grade Fresh
BEL_225_8205_244,Poor Grade Fresh
BEL_225_8205_245,High Grade Fresh
BEL_225_8205_246,High Grade Fresh
BEL_225_8205_247,Poor Grade Fresh
BEL_225_8205_W01,Waste Fresh
BEL_225_8206_164,Poor Grade Fresh
BEL_225_8206_165,High Grade Fresh
BEL_225_8206_242,Poor Grade Fresh
BEL_225_8206_243,High Grade Fresh
BEL_225_8206_247,Poor Grade Fresh
BEL_225_8206_W01,Waste Fresh
BEL_225_8207_246,High Grade Fresh
BEL_225_8207_248,Poor Grade Fresh
BEL_225_8207_W01,Waste Fresh
BEL_225_8208_151,Poor Grade Fresh
BEL_225_8208_241,Poor Grade Fresh
BEL_225_8208_W01,Waste Fresh
BEL_225_9999_997,Low Grade Fresh
BEL_225_9999_998,High Grade Fresh
BEL_225_9999_999,Poor Grade Fresh
BEL_230_1560__BP,Unknown
BEL_230_1561__BP,Unknown
BEL_230_1562__BP,Unknown
BEL_230_1563__BP,Unknown
BEL_230_1564__BP,Unknown
BEL_230_1565__BP,Unknown
BEL_230_1566__BP,Unknown
BEL_230_1567__BP,Unknown
BEL_230_1568__BP,Unknown
BEL_230_1569__BP,Unknown
BEL_230_1570__BP,Unknown
BEL_230_1571__BP,Unknown
BEL_230_1572__BP,Unknown
BEL_230_1573__BP,Unknown
BEL_230_1574__BP,Unknown
BEL_230_1575__BP,Unknown
BEL_230_1576__BP,Unknown
BEL_230_1577__BP,Unknown
BEL_230_1578__BP,Unknown
BEL_230_1579__BP,Unknown
BEL_230_1580__BP,Unknown
BEL_230_1581__BP,Unknown
BEL_230_1582__BP,Unknown
BEL_230_1583__BP,Unknown
BEL_230_1584__BP,Unknown
BEL_230_1585__BP,Unknown
BEL_230_1586__BP,Unknown
BEL_230_1587__BP,Unknown
BEL_230_1588__BP,Unknown
BEL_230_1589__BP,Unknown
BEL_230_1590__BP,Unknown
BEL_230_1591__BP,Unknown
BEL_230_1592__BP,Unknown
BEL_230_1593__BP,Unknown
BEL_230_1594__BP,Unknown
BEL_230_1595__BP,Unknown
BEL_230_1596__BP,Unknown
BEL_230_1597__BP,Unknown
BEL_230_1598__BP,Unknown
BEL_230_1599__BP,Unknown
BEL_230_1600__BP,Unknown
BEL_230_1601__BP,Unknown
BEL_230_1602__BP,Unknown
BEL_230_1603__BP,Unknown
BEL_230_1604__BP,Unknown
BEL_230_1605__BP,Unknown
BEL_230_1606__BP,Unknown
BEL_230_1607__BP,Unknown
BEL_230_1608__BP,Unknown
BEL_230_1609__BP,Unknown
BEL_230_1610__BP,Unknown
BEL_230_1611__BP,Unknown
BEL_230_1612__BP,Unknown
BEL_230_1613__BP,Unknown
BEL_230_1614__BP,Unknown
BEL_230_1615__BP,Unknown
BEL_230_1616__BP,Unknown
BEL_230_1617__BP,Unknown
BEL_230_1618__BP,Unknown
BEL_230_1619__BP,Unknown
BEL_230_1620__BP,Unknown
BEL_230_1621__BP,Unknown
BEL_230_1622__BP,Unknown
BEL_230_1623__BP,Unknown
BEL_230_1624__BP,Unknown
BEL_230_1625__BP,Unknown
BEL_230_1626__BP,Unknown
BEL_230_1627__BP,Unknown
BEL_230_1628__BP,Unknown
BEL_230_1629__BP,Unknown
BEL_230_1630__BP,Unknown
BEL_230_1631__BP,Unknown
BEL_230_1632__BP,Unknown
BEL_230_1633__BP,Unknown
BEL_230_1634__BP,Unknown
BEL_230_1635__BP,Unknown
BEL_230_1636__BP,Unknown
BEL_230_1637__BP,Unknown
BEL_230_1638__BP,Unknown
BEL_230_1639__BP,Unknown
BEL_230_1640__BP,Unknown
BEL_230_1641__BP,Unknown
BEL_230_1642__BP,Unknown
BEL_230_1643__BP,Unknown
BEL_230_1644__BP,Unknown
BEL_230_1645__BP,Unknown
BEL_230_1646__BP,Unknown
BEL_230_1647__BP,Unknown
BEL_230_8163_114,High Grade Fresh
BEL_230_8163_115,Low Grade Fresh
BEL_230_8163_116,Poor Grade Fresh
BEL_230_8163_117,Low Grade Fresh
BEL_230_8163_118,Low Grade Fresh
BEL_230_8163_119,Low Grade Fresh
BEL_230_8163_120,High Grade Fresh
BEL_230_8163_215,Low Grade Fresh
BEL_230_8163_216,Poor Grade Fresh
BEL_230_8163_217,High Grade Fresh
BEL_230_8163_218,Poor Grade Fresh
BEL_230_8163_219,High Grade Fresh
BEL_230_8163_220,Low Grade Fresh
BEL_230_8163_W01,Waste Fresh
BEL_230_8167_112,High Grade Fresh
BEL_230_8167_W01,Waste Fresh
BEL_230_8168_131,High Grade Fresh
BEL_230_8168_132,High Grade Fresh
BEL_230_8168_133,Poor Grade Fresh
BEL_230_8168_239,High Grade Fresh
BEL_230_8168_240,High Grade Fresh
BEL_230_8168_241,High Grade Fresh
BEL_230_8168_W01,Waste Fresh
BEL_230_8180_107,High Grade Fresh
BEL_230_8180_108,Poor Grade Fresh
BEL_230_8180_109,Low Grade Fresh
BEL_230_8180_110,High Grade Fresh
BEL_230_8180_111,Low Grade Fresh
BEL_230_8180_154,Poor Grade Fresh
BEL_230_8180_210,High Grade Fresh
BEL_230_8180_211,Low Grade Fresh
BEL_230_8180_212,Poor Grade Fresh
BEL_230_8180_213,High Grade Fresh
BEL_230_8180_214,Low Grade Fresh
BEL_230_8180_W01,Waste Fresh
BEL_230_8181_101,High Grade Fresh
BEL_230_8181_201,Poor Grade Fresh
BEL_230_8181_202,High Grade Fresh
BEL_230_8181_203,Low Grade Fresh
BEL_230_8181_W01,Waste Fresh
BEL_230_8182_102,Poor Grade Fresh
BEL_230_8182_103,High Grade Fresh
BEL_230_8182_104,Poor Grade Fresh
BEL_230_8182_105,Low Grade Fresh
BEL_230_8182_106,Low Grade Fresh
BEL_230_8182_204,Low Grade Fresh
BEL_230_8182_205,High Grade Fresh
BEL_230_8182_206,Poor Grade Fresh
BEL_230_8182_207,High Grade Fresh
BEL_230_8182_208,High Grade Fresh
BEL_230_8182_209,Low Grade Fresh
BEL_230_8182_W01,Waste Fresh
BEL_230_8183_121,Low Grade Fresh
BEL_230_8183_122,High Grade Fresh
BEL_230_8183_123,Low Grade Fresh
BEL_230_8183_221,High Grade Fresh
BEL_230_8183_222,Poor Grade Fresh
BEL_230_8183_223,High Grade Fresh
BEL_230_8183_224,Low Grade Fresh
BEL_230_8183_W01,Waste Fresh
BEL_230_8184_134,Low Grade Fresh
BEL_230_8184_135,High Grade Fresh
BEL_230_8184_136,Poor Grade Fresh
BEL_230_8184_137,Low Grade Fresh
BEL_230_8184_138,High Grade Fresh
BEL_230_8184_139,High Grade Fresh
BEL_230_8184_140,High Grade Fresh
BEL_230_8184_246,High Grade Fresh
BEL_230_8184_247,Poor Grade Fresh
BEL_230_8184_248,Low Grade Fresh
BEL_230_8184_249,High Grade Fresh
BEL_230_8184_250,High Grade Fresh
BEL_230_8184_251,Low Grade Fresh
BEL_230_8184_W01,Waste Fresh
BEL_230_8185_141,High Grade Fresh
BEL_230_8185_142,High Grade Fresh
BEL_230_8185_143,Low Grade Fresh
BEL_230_8185_144,Poor Grade Fresh
BEL_230_8185_145,Low Grade Fresh
BEL_230_8185_253,Low Grade Fresh
BEL_230_8185_254,High Grade Fresh
BEL_230_8185_255,Low Grade Fresh
BEL_230_8185_256,High Grade Fresh
BEL_230_8185_257,Poor Grade Fresh
BEL_230_8185_258,Poor Grade Fresh
BEL_230_8185_259,Poor Grade Fresh
BEL_230_8185_W01,Waste Fresh
BEL_230_8186_245,Low Grade Fresh
BEL_230_8186_W01,Waste Fresh
BEL_230_8187_146,Poor Grade Fresh
BEL_230_8187_147,Low Grade Fresh
BEL_230_8187_148,High Grade Fresh
BEL_230_8187_149,Low Grade Fresh
BEL_230_8187_150,High Grade Fresh
BEL_230_8187_151,High Grade Fresh
BEL_230_8187_152,Poor Grade Fresh
BEL_230_8187_153,Poor Grade Fresh
BEL_230_8187_260,Low Grade Fresh
BEL_230_8187_261,High Grade Fresh
BEL_230_8187_262,Low Grade Fresh
BEL_230_8187_263,Poor Grade Fresh
BEL_230_8187_264,Poor Grade Fresh
BEL_230_8187_265,High Grade Fresh
BEL_230_8187_266,High Grade Fresh
BEL_230_8187_267,Low Grade Fresh
BEL_230_8187_268,Poor Grade Fresh
BEL_230_8187_269,Low Grade Fresh
BEL_230_8187_W01,Waste Fresh
BEL_230_8188_252,Low Grade Fresh
BEL_230_8188_W01,Waste Fresh
BEL_230_8189_113,Low Grade Fresh
BEL_230_8189_225,Low Grade Fresh
BEL_230_8189_226,Low Grade Fresh
BEL_230_8189_W01,Waste Fresh
BEL_230_8190_124,Poor Grade Fresh
BEL_230_8190_125,High Grade Fresh
BEL_230_8190_126,Poor Grade Fresh
BEL_230_8190_127,High Grade Fresh
BEL_230_8190_228,Poor Grade Fresh
BEL_230_8190_229,Low Grade Fresh
BEL_230_8190_230,High Grade Fresh
BEL_230_8190_231,Poor Grade Fresh
BEL_230_8190_232,High Grade Fresh
BEL_230_8190_233,Poor Grade Fresh
BEL_230_8190_234,High Grade Fresh
BEL_230_8190_W01,Waste Fresh
BEL_230_8191_227,Low Grade Fresh
BEL_230_8191_W01,Waste Fresh
BEL_230_8192_128,High Grade Fresh
BEL_230_8192_129,Low Grade Fresh
BEL_230_8192_235,Low Grade Fresh
BEL_230_8192_236,High Grade Fresh
BEL_230_8192_237,Low Grade Fresh
BEL_230_8192_W01,Waste Fresh
BEL_230_8193_242,Poor Grade Fresh
BEL_230_8193_243,Low Grade Fresh
BEL_230_8193_244,Low Grade Fresh
BEL_230_8193_W01,Waste Fresh
BEL_230_8194_130,Poor Grade Fresh
BEL_230_8194_238,Poor Grade Fresh
BEL_230_8194_W01,Waste Fresh
BEL_230_9023_304,Poor Grade Oxide
BEL_230_9024_302,Poor Grade Oxide
BEL_230_9999_997,Low Grade Fresh
BEL_230_9999_998,High Grade Fresh
BEL_230_9999_999,Poor Grade Fresh
BEL_235_1424__BP,Unknown
BEL_235_1425__BP,Unknown
BEL_235_1426__BP,Unknown
BEL_235_1427__BP,Unknown
BEL_235_1428__BP,Unknown
BEL_235_1429__BP,Unknown
BEL_235_1430__BP,Unknown
BEL_235_1431__BP,Unknown
BEL_235_1432__BP,Unknown
BEL_235_1433__BP,Unknown
BEL_235_1434__BP,Unknown
BEL_235_1435__BP,Unknown
BEL_235_1436__BP,Unknown
BEL_235_1437__BP,Unknown
BEL_235_1438__BP,Unknown
BEL_235_1439__BP,Unknown
BEL_235_1440__BP,Unknown
BEL_235_1441__BP,Unknown
BEL_235_1442__BP,Unknown
BEL_235_1443__BP,Unknown
BEL_235_1444__BP,Unknown
BEL_235_1445__BP,Unknown
BEL_235_1446__BP,Unknown
BEL_235_1447__BP,Unknown
BEL_235_1448__BP,Unknown
BEL_235_1449__BP,Unknown
BEL_235_1450__BP,Unknown
BEL_235_1451__BP,Unknown
BEL_235_1452__BP,Unknown
BEL_235_1453__BP,Unknown
BEL_235_1454__BP,Unknown
BEL_235_1455__BP,Unknown
BEL_235_1456__BP,Unknown
BEL_235_1457__BP,Unknown
BEL_235_1458__BP,Unknown
BEL_235_1459__BP,Unknown
BEL_235_1460__BP,Unknown
BEL_235_1461__BP,Unknown
BEL_235_1462__BP,Unknown
BEL_235_1463__BP,Unknown
BEL_235_1464__BP,Unknown
BEL_235_1465__BP,Unknown
BEL_235_1466__BP,Unknown
BEL_235_1467__BP,Unknown
BEL_235_1468__BP,Unknown
BEL_235_1469__BP,Unknown
BEL_235_1470__BP,Unknown
BEL_235_1471__BP,Unknown
BEL_235_1472__BP,Unknown
BEL_235_1473__BP,Unknown
BEL_235_1474__BP,Unknown
BEL_235_1475__BP,Unknown
BEL_235_1476__BP,Unknown
BEL_235_1477__BP,Unknown
BEL_235_1478__BP,Unknown
BEL_235_1479__BP,Unknown
BEL_235_1480__BP,Unknown
BEL_235_1481__BP,Unknown
BEL_235_1482__BP,Unknown
BEL_235_1483__BP,Unknown
BEL_235_1484__BP,Unknown
BEL_235_1485__BP,Unknown
BEL_235_1486__BP,Unknown
BEL_235_1487__BP,Unknown
BEL_235_1488__BP,Unknown
BEL_235_1489__BP,Unknown
BEL_235_1490__BP,Unknown
BEL_235_1491__BP,Unknown
BEL_235_1492__BP,Unknown
BEL_235_1493__BP,Unknown
BEL_235_1494__BP,Unknown
BEL_235_1495__BP,Unknown
BEL_235_1496__BP,Unknown
BEL_235_1497__BP,Unknown
BEL_235_1498__BP,Unknown
BEL_235_1499__BP,Unknown
BEL_235_1500__BP,Unknown
BEL_235_1501__BP,Unknown
BEL_235_1502__BP,Unknown
BEL_235_1503__BP,Unknown
BEL_235_1504__BP,Unknown
BEL_235_1505__BP,Unknown
BEL_235_1506__BP,Unknown
BEL_235_1507__BP,Unknown
BEL_235_1508__BP,Unknown
BEL_235_1509__BP,Unknown
BEL_235_1510__BP,Unknown
BEL_235_1511__BP,Unknown
BEL_235_1512__BP,Unknown
BEL_235_1513__BP,Unknown
BEL_235_1514__BP,Unknown
BEL_235_1515__BP,Unknown
BEL_235_1516__BP,Unknown
BEL_235_1517__BP,Unknown
BEL_235_1518__BP,Unknown
BEL_235_1519__BP,Unknown
BEL_235_1520__BP,Unknown
BEL_235_1521__BP,Unknown
BEL_235_1522__BP,Unknown
BEL_235_1523__BP,Unknown
BEL_235_1524__BP,Unknown
BEL_235_1525__BP,Unknown
BEL_235_1526__BP,Unknown
BEL_235_1527__BP,Unknown
BEL_235_1528__BP,Unknown
BEL_235_1529__BP,Unknown
BEL_235_1530__BP,Unknown
BEL_235_1531__BP,Unknown
BEL_235_1532__BP,Unknown
BEL_235_1533__BP,Unknown
BEL_235_1534__BP,Unknown
BEL_235_1535__BP,Unknown
BEL_235_1536__BP,Unknown
BEL_235_1537__BP,Unknown
BEL_235_1538__BP,Unknown
BEL_235_1539__BP,Unknown
BEL_235_1540__BP,Unknown
BEL_235_1541__BP,Unknown
BEL_235_1542__BP,Unknown
BEL_235_1543__BP,Unknown
BEL_235_1544__BP,Unknown
BEL_235_1545__BP,Unknown
BEL_235_1546__BP,Unknown
BEL_235_1547__BP,Unknown
BEL_235_1548__BP,Unknown
BEL_235_1549__BP,Unknown
BEL_235_8136_104,High Grade Fresh
BEL_235_8136_105,Poor Grade Fresh
BEL_235_8136_106,Low Grade Fresh
BEL_235_8136_262,High Grade Fresh
BEL_235_8136_263,Low Grade Fresh
BEL_235_8136_264,Poor Grade Fresh
BEL_235_8136_265,Poor Grade Fresh
BEL_235_8136_266,Poor Grade Fresh
BEL_235_8136_W01,Waste Fresh
BEL_235_8140_123,High Grade Fresh
BEL_235_8140_124,High Grade Fresh
BEL_235_8140_125,Poor Grade Fresh
BEL_235_8140_126,Low Grade Fresh
BEL_235_8140_267,High Grade Fresh
BEL_235_8140_268,Poor Grade Fresh
BEL_235_8140_269,High Grade Fresh
BEL_235_8140_270,Low Grade Fresh
BEL_235_8140_271,High Grade Fresh
BEL_235_8140_W01,Waste Fresh
BEL_235_8146_111,Poor Grade Fresh
BEL_235_8146_112,High Grade Fresh
BEL_235_8146_113,Poor Grade Fresh
BEL_235_8146_114,High Grade Fresh
BEL_235_8146_W01,Waste Fresh
BEL_235_8147_206,High Grade Fresh
BEL_235_8147_207,Poor Grade Fresh
BEL_235_8147_208,Low Grade Fresh
BEL_235_8147_W01,Waste Fresh
BEL_235_8152_W01,Waste Fresh
BEL_235_8158_145,High Grade Fresh
BEL_235_8158_272,High Grade Fresh
BEL_235_8158_273,High Grade Fresh
BEL_235_8158_274,Poor Grade Fresh
BEL_235_8158_W01,Waste Fresh
BEL_235_8163_118,Low Grade Fresh
BEL_235_8163_119,High Grade Fresh
BEL_235_8163_120,Low Grade Fresh
BEL_235_8163_121,Poor Grade Fresh
BEL_235_8163_122,High Grade Fresh
BEL_235_8163_217,Low Grade Fresh
BEL_235_8163_218,Poor Grade Fresh
BEL_235_8163_219,High Grade Fresh
BEL_235_8163_220,High Grade Fresh
BEL_235_8163_221,Low Grade Fresh
BEL_235_8163_222,Low Grade Fresh
BEL_235_8163_223,Poor Grade Fresh
BEL_235_8163_224,Low Grade Fresh
BEL_235_8163_225,Low Grade Fresh
BEL_235_8163_226,High Grade Fresh
BEL_235_8163_227,High Grade Fresh
BEL_235_8163_W01,Waste Fresh
BEL_235_8164_117,Low Grade Fresh
BEL_235_8164_205,Low Grade Fresh
BEL_235_8164_W01,Waste Fresh
BEL_235_8165_101,Poor Grade Fresh
BEL_235_8165_102,Low Grade Fresh
BEL_235_8165_103,High Grade Fresh
BEL_235_8165_201,Low Grade Fresh
BEL_235_8165_202,Poor Grade Fresh
BEL_235_8165_203,High Grade Fresh
BEL_235_8165_204,Poor Grade Fresh
BEL_235_8165_W01,Waste Fresh
BEL_235_8166_107,Poor Grade Fresh
BEL_235_8166_108,High Grade Fresh
BEL_235_8166_109,Low Grade Fresh
BEL_235_8166_110,High Grade Fresh
BEL_235_8166_209,High Grade Fresh
BEL_235_8166_210,Poor Grade Fresh
BEL_235_8166_211,Poor Grade Fresh
BEL_235_8166_W01,Waste Fresh
BEL_235_8167_115,High Grade Fresh
BEL_235_8167_116,Poor Grade Fresh
BEL_235_8167_212,Poor Grade Fresh
BEL_235_8167_213,High Grade Fresh
BEL_235_8167_214,High Grade Fresh
BEL_235_8167_215,High Grade Fresh
BEL_235_8167_216,High Grade Fresh
BEL_235_8167_228,High Grade Fresh
BEL_235_8167_229,Low Grade Fresh
BEL_235_8167_W01,Waste Fresh
BEL_235_8168_129,Poor Grade Fresh
BEL_235_8168_130,High Grade Fresh
BEL_235_8168_131,Poor Grade Fresh
BEL_235_8168_132,Low Grade Fresh
BEL_235_8168_234,Poor Grade Fresh
BEL_235_8168_235,High Grade Fresh
BEL_235_8168_236,High Grade Fresh
BEL_235_8168_237,Poor Grade Fresh
BEL_235_8168_238,Poor Grade Fresh
BEL_235_8168_246,Low Grade Fresh
BEL_235_8168_W01,Waste Fresh
BEL_235_8169_W01,Waste Fresh
