Source_Code,Source_Material
ARG_N1418_B02__SPA,Ore
ARG_N15________EWA,Waste
ARG_N15___A01__SPA,Ore
ARG_N16________EWA,Waste
ARG_N16___A01__01S,Ore
ARG_N16___A01__ODN,Ore
ARG_N16___A01__SP2,Ore
ARG_N16___A01__SP3,Ore
ARG_N16___A01__SPA,Ore
ARG_N16___L03__ODS,Ore
ARG_N17___A75__SPA,Ore
ARG_N17___B01__01E,Ore
ARG_N17___B01__01S,Ore
ARG_N17___B01__01W,Ore
ARG_N17___B01__02S,Ore
ARG_N17___B01__12S,Ore
ARG_N17___B01__14S,Ore
ARG_N17___B01__ODE,Ore
ARG_N17___B01__ODN,Ore
ARG_N17___B01__ODW,Ore
ARG_N17___B01__SPA,Ore
ARG_N17___B01__SPN,Ore
ARG_N17___B01__SPW,Ore
ARG_N18___A01__01S,Ore
ARG_N18___B01__SPA,Ore
ARG_N19________EWA,Waste
ARG_N2____A01__SPA,Ore
ARG_N20___A01__ACC,Waste
ARG_N20___A01__RAD,Waste
ARG_N20___A01__SPA,Ore
ARG_N20___B01__01S,Ore
ARG_N20___B01__ODR,Ore
ARG_N20___B02__ODR,Ore
ARG_N21________DEC,Waste
ARG_N2223_A01__SPA,Ore
ARG_N24___A01__SPA,Ore
ARG_N24___B01__01S,Ore
ARG_N24___B01__05S,Ore
ARG_N24___B01__ODR,Ore
ARG_N25___A01__SPA,Ore
ARG_N26___A01__10S,Ore
ARG_N26___A01__10T,Ore
ARG_N26___A01__ACC,Waste
ARG_N26___A01__ODN,Ore
ARG_N26___A01__SPA,Ore
ARG_N27___A01__ACC,Waste
ARG_N27___A01__SPA,Ore
ARG_N27___L07__BKF,Waste
ARG_N28___A01__SPA,Ore
ARG_N29___A01__SPA,Ore
ARG_N3____A01__SPA,Ore
ARG_N3____A01__SPD,Waste
ARG_N30___A01__SPA,Ore
ARG_N30___B01__01A,Ore
ARG_N30___B01__01S,Ore
ARG_N30___B01__ODS,Ore
ARG_N30___B01__ODW,Ore
ARG_N31___A01__SMP,Waste
ARG_N31___A01__SPA,Ore
ARG_N32___B01__01E,Ore
ARG_N32___B01__01N,Ore
ARG_N32___B01__01S,Ore
ARG_N32___B01__ACC,Waste
ARG_N32___B01__ODR,Ore
ARG_N32___B01__ODW,Ore
ARG_N32___B01__SPA,Ore
ARG_N32___B01__SPD,Waste
ARG_N32___B01__SPN,Ore
ARG_N36___A01__BKF,Waste
ARG_N36___A01__DDC,Waste
